iteration,accuracy,f1,precision,recall,iter_num,max_iter,dset_size
10.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
5.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
9.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
1.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
7.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
4.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
3.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
6.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
8.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
2.0,27.672413793103452,0.1555320222602588,0.51214324416739,0.2767241379310345,2,60,0.1
5.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
6.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
7.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
8.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
1.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
3.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
2.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
10.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
9.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
4.0,32.58620689655172,0.23160506875386008,0.5377726491994252,0.3258620689655172,4,60,0.1
3.0,38.53448275862069,0.2989991967924595,0.5608576768513123,0.3853448275862069,6,60,0.1
