balotId,province,regency,district,sub_district,ballot_number,sliced_image_path,real_result
6402042005001,Kalimantan Timur,Kutai Kartanegara,Anggana,Anggana,01,../../data_election/digits/6402042005001/candidate1/digit2/Screenshot 2025-01-03 at 19.40.00.png,1
6402042005001,Kalimantan Timur,Kutai Kartanegara,Anggana,Anggana,01,../../data_election/digits/6402042005001/candidate1/digit3/Screenshot 2025-01-03 at 19.40.03.png,9
6402042005001,Kalimantan Timur,Kutai Kartanegara,Anggana,Anggana,01,../../data_election/digits/6402042005001/candidate2/digit1/Screenshot 2025-01-03 at 19.40.07.png,1
6402042005001,Kalimantan Timur,Kutai Kartanegara,Anggana,Anggana,01,../../data_election/digits/6402042005001/candidate2/digit2/Screenshot 2025-01-03 at 19.40.10.png,4
6402042005001,Kalimantan Timur,Kutai Kartanegara,Anggana,Anggana,01,../../data_election/digits/6402042005001/candidate2/digit3/Screenshot 2025-01-03 at 19.40.13.png,2
6402042005001,Kalimantan Timur,Kutai Kartanegara,Anggana,Anggana,01,../../data_election/digits/6402042005001/candidate3/digit2/Screenshot 2025-01-03 at 19.40.17.png,2
6402042005001,Kalimantan Timur,Kutai Kartanegara,Anggana,Anggana,01,../../data_election/digits/6402042005001/candidate3/digit3/Screenshot 2025-01-03 at 19.40.20.png,1
6171031001001,Kalimantan Barat,Kota Pontianak,Pontianak Barat,Pallima,01,../../data_election/digits/6171031001001/candidate1/digit1/Screenshot 2025-01-03 at 18.46.19.png,1
6171031001001,Kalimantan Barat,Kota Pontianak,Pontianak Barat,Pallima,01,../../data_election/digits/6171031001001/candidate1/digit2/Screenshot 2025-01-03 at 18.46.22.png,4
6171031001001,Kalimantan Barat,Kota Pontianak,Pontianak Barat,Pallima,01,../../data_election/digits/6171031001001/candidate1/digit3/Screenshot 2025-01-03 at 18.46.26.png,0
6171031001001,Kalimantan Barat,Kota Pontianak,Pontianak Barat,Pallima,01,../../data_election/digits/6171031001001/candidate2/digit2/Screenshot 2025-01-03 at 18.46.29.png,7
